mgi_symbol	mgi_description	ensembl_gene_id
Gm37791	predicted gene, 37791	ENSMUSG00000102320
Gm37792	predicted gene, 37792	ENSMUSG00000102321
4930566N20Rik	RIKEN cDNA 4930566N20 gene	ENSMUSG00000102322
Gm37790	predicted gene, 37790	ENSMUSG00000102323
Gm19721	predicted gene, 19721	ENSMUSG00000102324
Gm37789	predicted gene, 37789	ENSMUSG00000102325
Gm37788	predicted gene, 37788	ENSMUSG00000102326
Trbv12-3; ; Tcrb-V5.3	T cell receptor beta, variable 12-3	ENSMUSG00000102327
Gm37793	predicted gene, 37793	ENSMUSG00000102328
Gm10851	predicted gene 10851	ENSMUSG00000102329
Gm37234	predicted gene, 37234	ENSMUSG00000102330
Gm19938	predicted gene, 19938	ENSMUSG00000102331
Gm19331	predicted gene, 19331	ENSMUSG00000102332
Gm37235	predicted gene, 37235	ENSMUSG00000102333
Gm18865	predicted gene, 18865	ENSMUSG00000102334
Gm37231	predicted gene, 37231	ENSMUSG00000102335
Gm37233	predicted gene, 37233	ENSMUSG00000102336
Gm37232	predicted gene, 37232	ENSMUSG00000102337
Gm37236	predicted gene, 37236	ENSMUSG00000102338
Gm21443; LOC108168585	predicted gene, 21443	ENSMUSG00000102339
Gm18952	predicted gene, 18952	ENSMUSG00000102341
Gm37380	predicted gene, 37380	ENSMUSG00000102342
Gm37381	predicted gene, 37381	ENSMUSG00000102343
9430053O09Rik	RIKEN cDNA 9430053O09 gene	ENSMUSG00000102344
Gm37377	predicted gene, 37377	ENSMUSG00000102345
Gm37378	predicted gene, 37378	ENSMUSG00000102346
Gm21469	predicted gene, 21469	ENSMUSG00000102347
Gm10568	predicted gene 10568	ENSMUSG00000102348
Gm37376	predicted gene, 37376	ENSMUSG00000102349
Gm37434	predicted gene, 37434	ENSMUSG00000102350
Gm38346	predicted gene, 38346	ENSMUSG00000102352
Gm38345	predicted gene, 38345	ENSMUSG00000102353
Gm38350	predicted gene, 38350	ENSMUSG00000102354
Gm38349	predicted gene, 38349	ENSMUSG00000102355
1700047N06Rik	RIKEN cDNA 1700047N06 gene	ENSMUSG00000102356
Gm38348	predicted gene, 38348	ENSMUSG00000102357
Gm21412; LOC108168584	predicted gene, 21412	ENSMUSG00000102358
Gm38351	predicted gene, 38351	ENSMUSG00000102359
Gm37043	predicted gene, 37043	ENSMUSG00000102360
4930509J09Rik	RIKEN cDNA 4930509J09 gene	ENSMUSG00000102362
Gm32999	predicted gene, 32999	ENSMUSG00000102363
Ighv8-5	immunoglobulin heavy variable V8-5	ENSMUSG00000102364
Gm37045	predicted gene, 37045	ENSMUSG00000102365
Gm37044	predicted gene, 37044	ENSMUSG00000102366
4930590L20Rik	RIKEN cDNA 4930590L20 gene	ENSMUSG00000102368
9530022L04Rik	RIKEN cDNA 9530022L04 gene	ENSMUSG00000102369
Gm37973	predicted gene, 37973	ENSMUSG00000102370
Olfr258-ps1; ; GA_x6K02T2N3VE-4852-3891; GA_x6K02T2P20D-21015448-21014557; MOR105-11; MOR105-6P; Olfr423-ps1	olfactory receptor 258, pseudogene 1	ENSMUSG00000102371
A430050A11Rik	RIKEN cDNA A430050A11 gene	ENSMUSG00000102372
9530018H14Rik	RIKEN cDNA 9530018H14 gene	ENSMUSG00000102373
Gm38387	predicted gene, 38387	ENSMUSG00000102374
A930036K24Rik	RIKEN cDNA A930036K24 gene	ENSMUSG00000102375
Gm37975	predicted gene, 37975	ENSMUSG00000102376
Gm37974	predicted gene, 37974	ENSMUSG00000102377
Gm37972	predicted gene, 37972	ENSMUSG00000102378
Gm37971	predicted gene, 37971	ENSMUSG00000102379
Gm38140	predicted gene, 38140	ENSMUSG00000102380
Ighv8-7	immunoglobulin heavy variable V8-7	ENSMUSG00000102381
Gm38141	predicted gene, 38141	ENSMUSG00000102382
Gm38142	predicted gene, 38142	ENSMUSG00000102383
Gm38143	predicted gene, 38143	ENSMUSG00000102384
Gm38144	predicted gene, 38144	ENSMUSG00000102385
2900022M07Rik	RIKEN cDNA 2900022M07 gene	ENSMUSG00000102386
Gm38145	predicted gene, 38145	ENSMUSG00000102387
Gm33815	predicted gene, 33815	ENSMUSG00000102388
D630023O14Rik	RIKEN cDNA D630023O14 gene	ENSMUSG00000102389
Gm37579	predicted gene, 37579	ENSMUSG00000102390
Gm37578	predicted gene, 37578	ENSMUSG00000102391
Gm37577	predicted gene, 37577	ENSMUSG00000102392
Gm37576	predicted gene, 37576	ENSMUSG00000102393
Gm37575	predicted gene, 37575	ENSMUSG00000102394
Gm37574	predicted gene, 37574	ENSMUSG00000102396
Gm37573	predicted gene, 37573	ENSMUSG00000102397
Gm37580	predicted gene, 37580	ENSMUSG00000102398
Gm5049	predicted gene 5049	ENSMUSG00000102399
Gm37865	predicted gene, 37865	ENSMUSG00000102400
Gm37864	predicted gene, 37864	ENSMUSG00000102401
Gm20840	predicted gene, 20840	ENSMUSG00000102402
Gm38187	predicted gene, 38187	ENSMUSG00000102403
5530400K19Rik	RIKEN cDNA 5530400K19 gene	ENSMUSG00000102404
Gm37863	predicted gene, 37863	ENSMUSG00000102405
A730094K22Rik	RIKEN cDNA A730094K22 gene	ENSMUSG00000102406
Gm37862	predicted gene, 37862	ENSMUSG00000102407
4930568G15Rik	RIKEN cDNA 4930568G15 gene	ENSMUSG00000102408
Trbv18	T cell receptor beta variable 18	ENSMUSG00000102409
Gm36935	predicted gene, 36935	ENSMUSG00000102410
Gm36936	predicted gene, 36936	ENSMUSG00000102411
Gm36937	predicted gene, 36937	ENSMUSG00000102413
Gm36938	predicted gene, 36938	ENSMUSG00000102414
A430110C17Rik	RIKEN cDNA A430110C17 gene	ENSMUSG00000102415
4933424G06Rik	RIKEN cDNA 4933424G06 gene	ENSMUSG00000102416
Gm36939	predicted gene, 36939	ENSMUSG00000102417
Sh2d1b1; EAT-2; Eat2; Eat2a; Sh2d1b	SH2 domain containing 1B1	ENSMUSG00000102418
Gm36940	predicted gene, 36940	ENSMUSG00000102419
Gm37464	predicted gene, 37464	ENSMUSG00000102420
Gm37325	predicted gene, 37325	ENSMUSG00000102421
Iqschfp; Gm21949; IQCJ-SCHIP1	Iqcj and Schip1 fusion protein	ENSMUSG00000102422
Gm37465	predicted gene, 37465	ENSMUSG00000102423
Paupar	Pax6 upstream antisense RNA	ENSMUSG00000102424
Gm26616	predicted gene, 26616	ENSMUSG00000102425
Gm37463	predicted gene, 37463	ENSMUSG00000102427
Pcdhga12; pc2c; Pcdh13	protocadherin gamma subfamily A, 12	ENSMUSG00000102428
Gm37462	predicted gene, 37462	ENSMUSG00000102429
Gm38051	predicted gene, 38051	ENSMUSG00000102430
Gm29856	predicted gene, 29856	ENSMUSG00000102432
Gm38050	predicted gene, 38050	ENSMUSG00000102433
Gm38049	predicted gene, 38049	ENSMUSG00000102434
Gm38047	predicted gene, 38047	ENSMUSG00000102436
Gm17953	predicted gene, 17953	ENSMUSG00000102438
Flg; fillagrin; ft; profilaggrin	filaggrin	ENSMUSG00000102439
Pcdhga9	protocadherin gamma subfamily A, 9	ENSMUSG00000102440
Gm38032	predicted gene, 38032	ENSMUSG00000102441
Gm37103	predicted gene, 37103	ENSMUSG00000102442
Gm37102	predicted gene, 37102	ENSMUSG00000102443
Gm37104	predicted gene, 37104	ENSMUSG00000102445
Gm17965	predicted gene, 17965	ENSMUSG00000102446
Gm6621	predicted gene 6621	ENSMUSG00000102447
Gm37101	predicted gene, 37101	ENSMUSG00000102448
Gm37100	predicted gene, 37100	ENSMUSG00000102449
Gm38343	predicted gene, 38343	ENSMUSG00000102450
Gm37655	predicted gene, 37655	ENSMUSG00000102451
Gm38344	predicted gene, 38344	ENSMUSG00000102452
Ighv1-48	immunoglobulin heavy variable V1-48	ENSMUSG00000102453
Gm37508	predicted gene, 37508	ENSMUSG00000102456
Gm38342	predicted gene, 38342	ENSMUSG00000102457
Pisrt1	polled intersex syndrome regulated transcript 1	ENSMUSG00000102458
Gm38352	predicted gene, 38352	ENSMUSG00000102459
Gm38197	predicted gene, 38197	ENSMUSG00000102460
Gm37166	predicted gene, 37166	ENSMUSG00000102461
Gm5542	predicted gene 5542	ENSMUSG00000102462
1700003N22Rik	RIKEN cDNA 1700003N22 gene	ENSMUSG00000102463
Gm38199	predicted gene, 38199	ENSMUSG00000102464
Gm38198	predicted gene, 38198	ENSMUSG00000102465
Gm38200	predicted gene, 38200	ENSMUSG00000102466
Gm37167	predicted gene, 37167	ENSMUSG00000102467
Gm38201	predicted gene, 38201	ENSMUSG00000102469
Gm37244	predicted gene, 37244	ENSMUSG00000102470
Gm5100	predicted gene 5100	ENSMUSG00000102471
Gm37243	predicted gene, 37243	ENSMUSG00000102473
2610012C04Rik	RIKEN cDNA 2610012C04 gene	ENSMUSG00000102474
Gm37246	predicted gene, 37246	ENSMUSG00000102475
Gm37245	predicted gene, 37245	ENSMUSG00000102476
BC085271	cDNA sequence BC085271	ENSMUSG00000102478
Gm18551	predicted gene, 18551	ENSMUSG00000102479
Gm37926	predicted gene, 37926	ENSMUSG00000102480
Gm37925	predicted gene, 37925	ENSMUSG00000102481
Gm37924	predicted gene, 37924	ENSMUSG00000102482
Catspere1; Catspere; Gm7068	cation channel sperm associated auxiliary subunit epsilon 1	ENSMUSG00000102483
Gm37923	predicted gene, 37923	ENSMUSG00000102484
Gm37922	predicted gene, 37922	ENSMUSG00000102485
Gm37921	predicted gene, 37921	ENSMUSG00000102486
Gm21871	predicted gene, 21871	ENSMUSG00000102487
Gm37920	predicted gene, 37920	ENSMUSG00000102488
Dnmt3a-ps1	DNA methyltransferase 3A, pseudogene 1	ENSMUSG00000102489
Gm36985	predicted gene, 36985	ENSMUSG00000102490
Gm36986	predicted gene, 36986	ENSMUSG00000102491
Gm36987	predicted gene, 36987	ENSMUSG00000102492
Gm8010	predicted gene 8010	ENSMUSG00000102493
Gm36988	predicted gene, 36988	ENSMUSG00000102494
Gm26524	predicted gene, 26524	ENSMUSG00000102495
Gm36989	predicted gene, 36989	ENSMUSG00000102496
Ighv13-1; ; Gm16931	immunoglobulin heavy variable 13-1	ENSMUSG00000102497
Gm19445	predicted gene, 19445	ENSMUSG00000102498
Gm36984	predicted gene, 36984	ENSMUSG00000102499
Gm37371	predicted gene, 37371	ENSMUSG00000102500
Gm37372	predicted gene, 37372	ENSMUSG00000102501
Ighv1-10	immunoglobulin heavy variable V1-10	ENSMUSG00000102502
Gm37370	predicted gene, 37370	ENSMUSG00000102503
Gm21955	predicted gene, 21955	ENSMUSG00000102504
1600017P15Rik; ; Gm24413	RIKEN cDNA 1600017P15 gene	ENSMUSG00000102505
Gm37369	predicted gene, 37369	ENSMUSG00000102506
Gm21350	predicted gene, 21350	ENSMUSG00000102507
Gm37367	predicted gene, 37367	ENSMUSG00000102508
Gm37368	predicted gene, 37368	ENSMUSG00000102509
Olfr1398-ps1; ; GA_x6K02T2QQRD-36092419-36091508	olfactory receptor 1398, pseudogene 1	ENSMUSG00000102510
Gm38086	predicted gene, 38086	ENSMUSG00000102511
Ighv1-29	immunoglobulin heavy variable V1-29	ENSMUSG00000102512
Gm32347	predicted gene, 32347	ENSMUSG00000102513
Gm35323	predicted gene, 35323	ENSMUSG00000102514
Ighv12-2	immunoglobulin heavy variable V12-2	ENSMUSG00000102515
Gm38340	predicted gene, 38340	ENSMUSG00000102516
Gm38085	predicted gene, 38085	ENSMUSG00000102517
Gm38339	predicted gene, 38339	ENSMUSG00000102518
Gm36941	predicted gene, 36941	ENSMUSG00000102520
Gm37781	predicted gene, 37781	ENSMUSG00000102521
Gm37782	predicted gene, 37782	ENSMUSG00000102522
Gm37783	predicted gene, 37783	ENSMUSG00000102523
Ighv1-2; ; Gm17000	immunoglobulin heavy variable 1-2	ENSMUSG00000102524
Gm37784	predicted gene, 37784	ENSMUSG00000102525
Gm37785	predicted gene, 37785	ENSMUSG00000102526
Ighv1-45	immunoglobulin heavy variable V1-45	ENSMUSG00000102528
Gm29740	predicted gene, 29740	ENSMUSG00000102529
Gm37228	predicted gene, 37228	ENSMUSG00000102530
1110002O04Rik	RIKEN cDNA 1110002O04 gene	ENSMUSG00000102531
Gm37227	predicted gene, 37227	ENSMUSG00000102532
Gm37226	predicted gene, 37226	ENSMUSG00000102533
Gm37225	predicted gene, 37225	ENSMUSG00000102534
Ighv1-41; ; Gm7014	immunoglobulin heavy variable 1-41	ENSMUSG00000102535
1700039I01Rik	RIKEN cDNA 1700039I01 gene	ENSMUSG00000102536
Gm37224	predicted gene, 37224	ENSMUSG00000102537
Gm37230	predicted gene, 37230	ENSMUSG00000102538
Gm37229	predicted gene, 37229	ENSMUSG00000102539
Gm38134	predicted gene, 38134	ENSMUSG00000102540
Gm38135	predicted gene, 38135	ENSMUSG00000102541
Gm38133	predicted gene, 38133	ENSMUSG00000102542
Pcdhgc5	protocadherin gamma subfamily C, 5	ENSMUSG00000102543
Gm5103	predicted gene 5103	ENSMUSG00000102544
6430573P05Rik; ; LOC381455	RIKEN cDNA 6430573P05 gene	ENSMUSG00000102545
Gm9722	predicted gene 9722	ENSMUSG00000102546
Gm38136	predicted gene, 38136	ENSMUSG00000102547
Gm16701	predicted gene, 16701	ENSMUSG00000102548
Gm38137	predicted gene, 38137	ENSMUSG00000102549
Gm8276	predicted gene 8276	ENSMUSG00000102550
Gm37927	predicted gene, 37927	ENSMUSG00000102551
Gm21763	predicted gene, 21763	ENSMUSG00000102552
D930036K23Rik	RIKEN cDNA D930036K23 gene	ENSMUSG00000102553
Gm37568	predicted gene, 37568	ENSMUSG00000102554
6430511E19Rik	RIKEN cDNA 6430511E19 gene	ENSMUSG00000102555
Gm37569	predicted gene, 37569	ENSMUSG00000102556
Gm37571	predicted gene, 37571	ENSMUSG00000102558
Gm37570	predicted gene, 37570	ENSMUSG00000102559
Gm37039	predicted gene, 37039	ENSMUSG00000102561
Gm37694	predicted gene, 37694	ENSMUSG00000102562
Gm37695	predicted gene, 37695	ENSMUSG00000102563
Gm37035	predicted gene, 37035	ENSMUSG00000102564
Gm37036	predicted gene, 37036	ENSMUSG00000102565
Gm37037	predicted gene, 37037	ENSMUSG00000102566
Gm37040	predicted gene, 37040	ENSMUSG00000102568
Gm37041	predicted gene, 37041	ENSMUSG00000102569
Gm37968	predicted gene, 37968	ENSMUSG00000102570
Gm37967	predicted gene, 37967	ENSMUSG00000102571
Gm37966	predicted gene, 37966	ENSMUSG00000102572
Gm7265	predicted gene 7265	ENSMUSG00000102573
Gm33206	predicted gene, 33206	ENSMUSG00000102574
Gm37241	predicted gene, 37241	ENSMUSG00000102575
Gm37875	predicted gene, 37875	ENSMUSG00000102576
Gm37969	predicted gene, 37969	ENSMUSG00000102577
Gm10576	predicted gene 10576	ENSMUSG00000102578
Gm37965	predicted gene, 37965	ENSMUSG00000102579
Gm37442	predicted gene, 37442	ENSMUSG00000102580
Gm37443	predicted gene, 37443	ENSMUSG00000102581
Gm37440	predicted gene, 37440	ENSMUSG00000102582
Gm37441	predicted gene, 37441	ENSMUSG00000102583
Gm37438	predicted gene, 37438	ENSMUSG00000102584
Gm37439	predicted gene, 37439	ENSMUSG00000102585
Gm38003	predicted gene, 38003	ENSMUSG00000102586
Ighv1-13; ; Gm17686	immunoglobulin heavy variable V1-13	ENSMUSG00000102587
Gm37444	predicted gene, 37444	ENSMUSG00000102588
Gm37445	predicted gene, 37445	ENSMUSG00000102589
Mannr; ; Manr	Mecom adjacent non-protein coding RNA	ENSMUSG00000102590
Gm38383	predicted gene, 38383	ENSMUSG00000102591
Gm38385	predicted gene, 38385	ENSMUSG00000102592
Gm38384	predicted gene, 38384	ENSMUSG00000102593
Gm38381	predicted gene, 38381	ENSMUSG00000102594
Gm30097	predicted gene, 30097	ENSMUSG00000102595
Gm20203	predicted gene, 20203	ENSMUSG00000102596
Gm38382	predicted gene, 38382	ENSMUSG00000102597
Gm35670	predicted gene, 35670	ENSMUSG00000102598
Gm38386	predicted gene, 38386	ENSMUSG00000102599
Gm37266	predicted gene, 37266	ENSMUSG00000102600
Ighv3-7	immunoglobulin heavy variable V3-7	ENSMUSG00000102601
A930004J17Rik	RIKEN cDNA A930004J17 gene	ENSMUSG00000102602
Olfr431-ps1; ; GA_x6K02T2P20D-21123424-21122522; Gm5033	olfactory receptor 431, pseudogene 1	ENSMUSG00000102603
Gm37264	predicted gene, 37264	ENSMUSG00000102605
Rpl21-ps1; ; Gm5534	ribosomal protein 21, pseudogene 1	ENSMUSG00000102606
Gm37265	predicted gene, 37265	ENSMUSG00000102607
Gm37267	predicted gene, 37267	ENSMUSG00000102608
Gm18432	predicted gene, 18432	ENSMUSG00000102609
Gm37846	predicted gene, 37846	ENSMUSG00000102610
Gm37847	predicted gene, 37847	ENSMUSG00000102611
Gm37845	predicted gene, 37845	ENSMUSG00000102612
Gm20836	predicted gene, 20836	ENSMUSG00000102613
Gm37843	predicted gene, 37843	ENSMUSG00000102614
Gm37844	predicted gene, 37844	ENSMUSG00000102615
Gm37841	predicted gene, 37841	ENSMUSG00000102616
Gm37842	predicted gene, 37842	ENSMUSG00000102617
Gm37848	predicted gene, 37848	ENSMUSG00000102618
Gm37849	predicted gene, 37849	ENSMUSG00000102619
Gm37675	predicted gene, 37675	ENSMUSG00000102620
Gm37674	predicted gene, 37674	ENSMUSG00000102621
Trbv7	T cell receptor beta variable 7	ENSMUSG00000102622
Gm37673	predicted gene, 37673	ENSMUSG00000102623
Gm37059	predicted gene, 37059	ENSMUSG00000102624
Gm37672	predicted gene, 37672	ENSMUSG00000102625
Gm18553	predicted gene, 18553	ENSMUSG00000102626
Snurf	SNRPN upstream reading frame	ENSMUSG00000102627
Gm37671	predicted gene, 37671	ENSMUSG00000102628
Gm29999	predicted gene, 29999	ENSMUSG00000102629
Gm37289	predicted gene, 37289	ENSMUSG00000102630
Gm37786	predicted gene, 37786	ENSMUSG00000102632
Gm38224	predicted gene, 38224	ENSMUSG00000102633
Gm38225	predicted gene, 38225	ENSMUSG00000102634
Gm36638	predicted gene, 36638	ENSMUSG00000102635
Gm31466	predicted gene, 31466	ENSMUSG00000102636
Gm8684	predicted gene 8684	ENSMUSG00000102637
Gm38223	predicted gene, 38223	ENSMUSG00000102639
Ighv1-3	immunoglobulin heavy variable V1-3	ENSMUSG00000102641
A130048G24Rik	RIKEN cDNA A130048G24 gene	ENSMUSG00000102642
Gm37547	predicted gene, 37547	ENSMUSG00000102643
Thap6; ; 4930534K21Rik	THAP domain containing 6	ENSMUSG00000102644
Ighv5-5	immunoglobulin heavy variable V5-5	ENSMUSG00000102645
Gm19694	predicted gene, 19694	ENSMUSG00000102646
Gm38024	predicted gene, 38024	ENSMUSG00000102647
Gm38022	predicted gene, 38022	ENSMUSG00000102648
Gm38021	predicted gene, 38021	ENSMUSG00000102649
Gm19863	predicted gene, 19863	ENSMUSG00000102650
Gm37080	predicted gene, 37080	ENSMUSG00000102651
Gm37078	predicted gene, 37078	ENSMUSG00000102652
Gm37079	predicted gene, 37079	ENSMUSG00000102653
Ighv1-21	immunoglobulin heavy variable V1-21	ENSMUSG00000102654
Gm37081	predicted gene, 37081	ENSMUSG00000102655
Ighv1-32	immunoglobulin heavy variable V1-32	ENSMUSG00000102656
Gm37899	predicted gene, 37899	ENSMUSG00000102657
Gm37076	predicted gene, 37076	ENSMUSG00000102658
Gm37077	predicted gene, 37077	ENSMUSG00000102659
Gm38378	predicted gene, 38378	ENSMUSG00000102660
Gm34816	predicted gene, 34816	ENSMUSG00000102661
Gm38377	predicted gene, 38377	ENSMUSG00000102662
Gm6631	predicted gene 6631	ENSMUSG00000102663
Gm38380	predicted gene, 38380	ENSMUSG00000102664
Gm38379	predicted gene, 38379	ENSMUSG00000102665
Gm8599	predicted gene 8599	ENSMUSG00000102666
Gm19901	predicted gene, 19901	ENSMUSG00000102667
Gm29866	predicted gene, 29866	ENSMUSG00000102668
Gm37436	predicted gene, 37436	ENSMUSG00000102670
Gm37105	predicted gene, 37105	ENSMUSG00000102672
Gm37437	predicted gene, 37437	ENSMUSG00000102673
8030442B05Rik	RIKEN cDNA 8030442B05 gene	ENSMUSG00000102674
Gm37435	predicted gene, 37435	ENSMUSG00000102676
4930535E02Rik	RIKEN cDNA 4930535E02 gene	ENSMUSG00000102677
Ighv1-21-1; ; Gm7070	immunoglobulin heavy variable 1-21-1	ENSMUSG00000102678
Gm20557	predicted gene, 20557	ENSMUSG00000102679
Gm37222	predicted gene, 37222	ENSMUSG00000102680
Gm37221	predicted gene, 37221	ENSMUSG00000102681
Gm37223	predicted gene, 37223	ENSMUSG00000102682
Gm37375	predicted gene, 37375	ENSMUSG00000102683
Gm37374	predicted gene, 37374	ENSMUSG00000102684
Gm37373	predicted gene, 37373	ENSMUSG00000102685
Gm37220	predicted gene, 37220	ENSMUSG00000102686
Gm37219	predicted gene, 37219	ENSMUSG00000102687
Gm37218	predicted gene, 37218	ENSMUSG00000102688
Gm37217	predicted gene, 37217	ENSMUSG00000102689
Gm37779	predicted gene, 37779	ENSMUSG00000102690
Gm37780	predicted gene, 37780	ENSMUSG00000102691
Dchs2; LOC229459	dachsous cadherin related 2	ENSMUSG00000102692
4933401J01Rik	RIKEN cDNA 4933401J01 gene	ENSMUSG00000102693
Gm37496	predicted gene, 37496	ENSMUSG00000102694
Gm37778	predicted gene, 37778	ENSMUSG00000102696
Pcdhac2; CNRc2	protocadherin alpha subfamily C, 2	ENSMUSG00000102697
Gm37777	predicted gene, 37777	ENSMUSG00000102698
4930433B08Rik	RIKEN cDNA 4930433B08 gene	ENSMUSG00000102699
Gm38312	predicted gene, 38312	ENSMUSG00000102700
9430083B18Rik	RIKEN cDNA 9430083B18 gene	ENSMUSG00000102701
Gm37260	predicted gene, 37260	ENSMUSG00000102702
Gm38313	predicted gene, 38313	ENSMUSG00000102703
Gm38309	predicted gene, 38309	ENSMUSG00000102704
4632432E15Rik; ; Gm38310	RIKEN cDNA 4632432E15 gene	ENSMUSG00000102705
Gm7417	predicted gene 7417	ENSMUSG00000102706
Gm38311	predicted gene, 38311	ENSMUSG00000102707
Gm38308	predicted gene, 38308	ENSMUSG00000102709
Gm4857	predicted gene 4857	ENSMUSG00000102710
Gm37758	predicted gene, 37758	ENSMUSG00000102712
Gm29994	predicted gene, 29994	ENSMUSG00000102713
Gm37618	predicted gene, 37618	ENSMUSG00000102714
Gm6209	predicted gene 6209	ENSMUSG00000102715
Gm5099	predicted gene 5099	ENSMUSG00000102716
Gm37759	predicted gene, 37759	ENSMUSG00000102717
Gm37761	predicted gene, 37761	ENSMUSG00000102718
Gm37760	predicted gene, 37760	ENSMUSG00000102719
A630081D01Rik	RIKEN cDNA A630081D01 gene	ENSMUSG00000102721
Gm37935	predicted gene, 37935	ENSMUSG00000102722
Gm37936	predicted gene, 37936	ENSMUSG00000102723
Gm37939	predicted gene, 37939	ENSMUSG00000102725
Gm37937	predicted gene, 37937	ENSMUSG00000102726
Gm37934	predicted gene, 37934	ENSMUSG00000102728
Gm32444	predicted gene, 32444	ENSMUSG00000102729
Gm38138	predicted gene, 38138	ENSMUSG00000102730
Gm38261	predicted gene, 38261	ENSMUSG00000102731
Gm37342	predicted gene, 37342	ENSMUSG00000102732
Gm38262	predicted gene, 38262	ENSMUSG00000102733
Gm37343	predicted gene, 37343	ENSMUSG00000102734
Gm7369	predicted gene 7369	ENSMUSG00000102735
1700016A09Rik	RIKEN cDNA 1700016A09 gene	ENSMUSG00000102737
1700006P03Rik	RIKEN cDNA 1700006P03 gene	ENSMUSG00000102738
Gm20772; Gm20793	predicted gene, 20772	ENSMUSG00000102739
Gm37599	predicted gene, 37599	ENSMUSG00000102740
Gm2979	predicted gene 2979	ENSMUSG00000102741
Pcdhga11	protocadherin gamma subfamily A, 11	ENSMUSG00000102742
Gm38108	predicted gene, 38108	ENSMUSG00000102743
5830444F18Rik	RIKEN cDNA 5830444F18 gene	ENSMUSG00000102744
Gm37600	predicted gene, 37600	ENSMUSG00000102745
Gm37601	predicted gene, 37601	ENSMUSG00000102746
Gm37602	predicted gene, 37602	ENSMUSG00000102747
Pcdhgb2	protocadherin gamma subfamily B, 2	ENSMUSG00000102748
Gm37598	predicted gene, 37598	ENSMUSG00000102749
Gm37058	predicted gene, 37058	ENSMUSG00000102750
Gm37057	predicted gene, 37057	ENSMUSG00000102751
Gm7694	predicted gene 7694	ENSMUSG00000102752
Gm37056	predicted gene, 37056	ENSMUSG00000102753
Gm38183	predicted gene, 38183	ENSMUSG00000102754
Gm37055	predicted gene, 37055	ENSMUSG00000102755
Gm37054	predicted gene, 37054	ENSMUSG00000102756
Gm2756	predicted gene 2756	ENSMUSG00000102757
Naaladl2; 2810043G22Rik; EG635702; LOC381500	N-acetylated alpha-linked acidic dipeptidase-like 2	ENSMUSG00000102758
Gm10463	predicted gene 10463	ENSMUSG00000102759
Gm37258	predicted gene, 37258	ENSMUSG00000102760
Gm37184	predicted gene, 37184	ENSMUSG00000102761
4930403P22Rik	RIKEN cDNA 4930403P22 gene	ENSMUSG00000102762
Gm37257	predicted gene, 37257	ENSMUSG00000102763
Gm37183	predicted gene, 37183	ENSMUSG00000102764
Ighv1-62	immunoglobulin heavy variable V1-62	ENSMUSG00000102765
Gm6420	predicted gene 6420	ENSMUSG00000102766
Gm19002	predicted gene, 19002	ENSMUSG00000102768
Gm37185	predicted gene, 37185	ENSMUSG00000102769
Gm38163	predicted gene, 38163	ENSMUSG00000102770
Gm33320	predicted gene, 33320	ENSMUSG00000102771
Gm32114	predicted gene, 32114	ENSMUSG00000102772
Ighv1-17-1	immunoglobulin heavy variable V1-17-1	ENSMUSG00000102773
Gm9748	predicted gene 9748	ENSMUSG00000102774
Gm38160	predicted gene, 38160	ENSMUSG00000102775
Gm38162	predicted gene, 38162	ENSMUSG00000102776
Gm38161	predicted gene, 38161	ENSMUSG00000102777
Gm38165	predicted gene, 38165	ENSMUSG00000102778
Gm38164	predicted gene, 38164	ENSMUSG00000102779
Gm38253	predicted gene, 38253	ENSMUSG00000102780
Gm37625	predicted gene, 37625	ENSMUSG00000102782
Gm38254	predicted gene, 38254	ENSMUSG00000102783
Gm38251	predicted gene, 38251	ENSMUSG00000102784
Gm2447	predicted gene 2447	ENSMUSG00000102785
Gm38252	predicted gene, 38252	ENSMUSG00000102786
Gm30174	predicted gene, 30174	ENSMUSG00000102787
Gm38255	predicted gene, 38255	ENSMUSG00000102788
Gm38256	predicted gene, 38256	ENSMUSG00000102789
Gm37272	predicted gene, 37272	ENSMUSG00000102790
Gm37709	predicted gene, 37709	ENSMUSG00000102791
Gm32175	predicted gene, 32175	ENSMUSG00000102792
Gm37708	predicted gene, 37708	ENSMUSG00000102793
Gm37712	predicted gene, 37712	ENSMUSG00000102794
Gm6236	predicted gene 6236	ENSMUSG00000102795
Gm37711	predicted gene, 37711	ENSMUSG00000102796
Gm37710	predicted gene, 37710	ENSMUSG00000102797
Gm32295	predicted gene, 32295	ENSMUSG00000102799
Gm37479	predicted gene, 37479	ENSMUSG00000102800
Gm37478	predicted gene, 37478	ENSMUSG00000102801
Mgam2-ps; ; Gm7254	maltase-glucoamylase 2, pseudogene	ENSMUSG00000102802
Gm37477	predicted gene, 37477	ENSMUSG00000102803
Gm37481	predicted gene, 37481	ENSMUSG00000102804
Gm37240; Arfip1	predicted gene, 37240	ENSMUSG00000102805
Ighv1-19-1	immunoglobulin heavy variable 1-19-1	ENSMUSG00000102806
Gm37480	predicted gene, 37480	ENSMUSG00000102807
5430420F09Rik	RIKEN cDNA 5430420F09 gene	ENSMUSG00000102808
Gm8643	predicted gene 8643	ENSMUSG00000102809
Gm37815	predicted gene, 37815	ENSMUSG00000102810
Gm37795	predicted gene, 37795	ENSMUSG00000102813
Gm37812	predicted gene, 37812	ENSMUSG00000102814
Gm37813	predicted gene, 37813	ENSMUSG00000102815
